Date,SHA Inflow,SHA Outflow,KWK Outflow,SHA Elev,KWK Elev,SHA Storage,SAC Flow,SAC Temp,MCC Flow,MCC Temp,PIT Flow,PIT Temp,SQW Flow,SQW Temp,Upper Gate Ops,Middle Gate Ops,Lower Gate Ops,Side Gate Ops,SPP Temp,Air Temp,Dew Point,Wind Speed,Cloud Cover,Solar Rad,Precip,Mid Prof Temp,Low Prof Temp,SideProf Temp,SHA Temp,KWK Temp
24,647.33876,122.59281,225.11007,315.64634,177.50609,3669753,140.34948,8.06,142.70008,8.33,341.73368,7.67,38.46053,8.33,0,5,0,0,8.23843,9.69982,8.48952,3.88613,9.94942,70.94765,29.25805,10.03435,8.8469,8.49786,10.10421489,9.573849023
25,633.62287,243.28692,337.2849,315.96646,177.50609,3697073,128.75731,7.67,130.71676,7.94,351.51846,7.39,34.4069,7.94,0,5,0,0,8.29398,8.68011,6.57107,1.15149,7.38707,87.74514,22.18256,9.98455,8.82216,8.47863,10.05600566,9.66403035
26,503.80372,328.52945,401.22387,316.10976,177.50609,3709341,104.54661,6.78,100.32956,7.11,283.34226,7.33,24.12773,7.11,0,5,0,0,8.22454,7.76202,3.68902,1.83183,2.08236,139.77237,8.27972,9.93475,8.79741,8.4594,10.22498714,9.658532665
27,413.88533,368.26017,383.23358,316.14634,177.50609,3712473,85.16965,6.06,76.7914,6.44,241.7869,7.44,16.16541,6.44,0,5,0,0,8.28935,5.4318,0.77947,2.54822,0.35074,149.86052,0.48068,9.88494,8.77267,8.44017,10.32225759,9.882105195
28,362.19571,345.75932,437.28947,316.15854,177.50609,3713517,73.8712,5.89,55.5852,6.06,228.7892,7.61,8.99192,6.06,0,5,0,0,8.23611,5.19768,-1.64509,1.74865,2.29826,151.96844,1.57275,9.83514,8.74792,8.42094,10.28345229,10.00594779
29,347.85638,513.72223,547.31411,316.02134,177.50609,3701771,60.85951,6.39,45.95796,6.33,239.10366,7.78,5.73529,6.33,0,5,0,0,8.15509,5.7872,-1.22788,1.72639,2.43493,151.33983,0.00536,9.78534,8.72318,8.40171,10.06024949,9.898389275
30,420.77161,472.97132,543.19556,315.97866,177.50609,3698117,78.2498,6.61,67.8508,6.61,270.3068,7.78,13.14104,6.61,0,5,0,0,8.15509,5.81564,3.83871,5.87503,8.83864,74.04098,0.00982,9.73554,8.69843,8.38248,9.896219136,9.706983025
31,425.95757,440.4386,474.93377,315.96646,177.50609,3697073,78.08438,7.11,68.35048,7.28,274.30708,7.78,13.31007,7.28,0,5,0,0,8.18981,6.25322,5.5575,3.8654,9.92356,49.06375,28.7713,9.68573,8.67369,8.36325,9.939316487,9.628134645
32,395.55025,448.6568,466.70494,315.92073,177.50609,3693157,67.81909,7.89,59.64764,8,264.01394,7.83,10.36613,8,0,5,0,0,8.13889,8.30501,7.3424,2.2024,9.24447,67.14182,17.34602,9.63593,8.64895,8.34402,9.828671553,9.711805556
33,399.97107,344.03067,424.62212,315.96646,177.50609,3697073,67.70382,7.56,60.57672,7.78,267.98412,8,10.68042,7.78,0,5,0,0,8.11806,10.40516,8.49246,1.39478,4.06205,91.18908,3.46094,9.58613,8.6242,8.32479,9.712336034,9.563609182
34,375.4015,273.83594,358.12676,316.04878,177.50609,3704120,64.74703,7.28,56.04988,7.61,251.63198,8.06,9.14911,7.61,0,5,0,0,8.17824,10.06374,7.11181,4.91661,8.89217,119.22012,2.66406,9.53632,8.59946,8.30556,9.691325874,9.388406636
35,355.98956,303.33643,355.50072,316.09146,177.50609,3707775,75.68279,7.72,53.84284,7.94,223.61814,7.89,8.40253,7.94,0,5,0,0,8.14815,8.50755,6.54241,3.44539,9.75942,86.2846,11.82415,9.48652,8.57471,8.28632,9.565039866,9.386075746
36,546.02824,275.33789,357.29431,316.31098,177.50609,3726631,174.50556,8.28,103.64376,8.44,256.93296,7.78,25.24883,8.44,0,5,0,0,8.15741,8.44938,7.35052,6.04788,8.996,77.99803,1.27057,9.43672,8.54997,8.26709,9.462384259,9.17729231
37,643.17298,183.83253,312.37999,316.68293,177.50609,3758720,218.96451,8,124.77796,8.22,277.99366,7.83,32.39796,8.22,0,5,0,0,8.07407,9.46756,6.84428,1.69441,6.19084,133.27187,48.5373,9.38692,8.52522,8.24786,9.477671682,9.119020062
38,478.63904,209.56398,307.66751,316.89939,177.50609,3777491,130.75281,8.06,85.30476,8.39,250.10146,7.61,19.04525,8.39,0,5,0,0,8.09028,10.87728,7.94897,2.7439,7.35625,140.0186,1.07588,9.33711,8.50048,8.22863,9.643695345,9.261943801
39,428.28134,290.27233,304.83837,317.00915,177.50609,3787027,100.2305,8.11,74.098,8.5,245.923,7.22,15.2543,8.5,5,0,0,0,8.24537,11.90121,8.88376,2.3516,9.15721,88.15557,0.04104,9.28731,8.47573,8.2094,9.932645319,9.573141718
40,358.48335,414.79216,417.05335,316.96341,177.50609,3783054,82.31831,8.33,62.60276,8.78,208.40446,7.28,11.36577,8.78,5,0,0,0,8.26389,11.56619,8.83245,3.50775,9.57209,109.27957,0.05469,9.23751,8.45099,8.19017,9.991753472,9.814637989
41,416.40746,373.44614,438.89415,316.99695,177.50609,3785968,106.48525,7.94,72.789,8.44,231.3565,7.61,14.8115,8.44,5,0,0,0,8.23611,8.76015,7.97132,2.6881,9.65261,79.44629,3.8569,9.18771,8.42624,8.17094,9.865322788,9.807163066
42,643.93812,406.99905,483.83799,317.18293,177.50609,3802119,166.99757,7.61,129.00172,7.78,334.04162,7.78,33.82675,7.78,5,0,0,0,8.2963,6.97326,6.1414,4.7442,9.72851,80.24752,26.38722,9.1379,8.4015,8.15171,9.756124614,9.614454733
43,997.37721,468.49382,587.70488,317.60671,177.50609,3839012,242.29307,7.33,226.73972,7.67,494.59462,8,66.88887,7.67,5,0,0,0,8.18056,6.17818,5.12515,4.95052,9.82324,69.09238,40.064,9.0881,8.37676,8.13248,9.668161651,9.539464378
44,1410.214,430.3784,574.78248,318.3811,177.50609,3907073,304.83759,8,329.09364,8.22,724.48494,8.28,101.51244,8.22,5,0,0,0,8.17361,7.95517,7.49341,6.62384,9.9622,47.71604,12.30853,9.0383,8.35201,8.11325,9.585632073,9.573286394
45,2078.12659,444.06594,576.18052,319.66159,177.50609,4021446,566.24717,7.78,508.17332,7.89,891.87522,8.5,162.09026,7.89,5,0,0,0,8.23843,8.92072,7.22503,9.27894,8.84455,101.23579,81.4562,8.98849,8.32727,8.09402,9.695071373,9.571936085
46,1131.41881,957.84485,1066.63439,319.79573,177.50609,4033548,264.90708,7.94,303.85968,8,489.19528,8.67,92.97647,8,5,0,0,0,8.25926,7.41047,5.1588,1.4867,9.05231,105.20368,25.37796,8.93869,8.30252,8.07479,9.766107253,9.567049254
47,844.09369,1001.28793,1116.3958,319.67378,177.50609,4022546,175.49187,8.11,192.47452,8.06,432.74542,8.89,55.29788,8.06,5,0,0,0,8.27083,7.95659,5.32948,1.27969,8.76176,129.22627,0.91459,8.88889,8.27778,8.05556,9.722495499,9.59145126
48,665.92888,1025.82916,1135.5775,319.39329,177.50609,3997293,135.51863,7.44,143.90348,7.61,357.44758,9.11,38.86761,7.61,5,0,0,0,8.42824,6.75422,4.44689,0.85587,5.40741,101.10117,2.06035,8.87607,8.27778,8.05606,9.686390818,9.603330761
49,587.09088,1061.11073,1135.49012,319.02134,177.50609,3963973,111.75758,7.11,98.60768,7.22,361.86828,9.33,23.54526,7.22,5,0,0,0,8.47454,7.84219,3.72993,1.64875,0.36974,193.73283,0.89821,8.86325,8.27778,8.05657,9.630770962,9.634243184
50,464.8098,1155.53496,1127.75604,318.47561,177.50609,3915438,97.67568,7.61,78.06528,7.83,280.26288,9.56,16.59633,7.83,5,0,0,0,8.69907,8.92672,3.89329,1.81927,3.97153,189.33635,0.0326,8.85043,8.27778,8.05708,9.672935957,9.653710134
51,480.02763,1025.77249,1035.31906,318.04268,177.50609,3877224,93.50079,8,73.97084,8.39,305.30614,9.39,15.21129,8.39,5,0,0,0,8.7037,9.01574,7.01096,3.29174,9.00348,116.5044,0.15809,8.83761,8.27778,8.05758,9.721241641,9.67023534
52,482.2097,1005.36869,1020.13192,317.62195,177.50609,3840342,109.63179,7.72,78.24684,8.06,286.82214,9.72,16.65774,8.06,5,0,0,0,8.65278,8.82413,6.62115,2.81765,8.26403,121.72797,17.74943,8.82479,8.27778,8.05809,9.665782536,9.577594522
53,826.38206,886.82831,942.57861,317.56098,177.50609,3835022,241.12181,7.5,159.78876,7.44,403.06546,9.89,44.24117,7.44,5,0,0,0,8.63889,7.99955,6.44181,8.85351,9.91742,104.48926,6.99816,8.81197,8.27778,8.0586,9.525398663,9.407970036
54,918.6809,879.80033,1027.42321,317.58841,177.50609,3837416,252.39811,7.11,202.71356,7.33,425.96126,10,58.76147,7.33,5,0,0,0,8.49306,5.6178,2.19711,1.88717,7.20492,140.0405,48.88011,8.79915,8.27778,8.0591,9.52498071,9.415557485
55,685.00076,954.3592,1049.20733,317.37195,177.50609,3818531,159.12551,6.94,147.30396,7.11,351.35966,10,40.0179,7.11,5,0,0,0,8.46296,5.11832,2.07105,2.03281,7.43192,139.61566,4.7614,8.78632,8.27778,8.05961,9.502764918,9.397344393
56,593.60876,1067.11851,1136.78897,316.9878,177.50609,3785173,128.66763,6.94,124.57748,7.22,319.49158,10.11,32.33015,7.22,5,0,0,0,8.39352,6.35292,5.37292,3.6595,9.73898,88.11266,4.72944,8.7735,8.27778,8.06012,9.494679141,9.443624614
57,1051.81567,834.88364,995.35454,317.15549,177.50609,3799737,225.0277,7.67,233.2792,8,557.5182,10.22,69.101,8,5,0,0,0,8.39815,7.1339,6.28827,8.68446,9.95473,67.63155,11.74284,8.76068,8.27778,8.06063,9.558031121,9.463541667
58,1543.43379,882.37915,1001.21354,317.68293,177.50609,3845663,436.26279,7.89,364.45284,7.94,665.22814,10.28,113.4735,7.94,5,0,0,0,8.46759,7.49516,5.75444,5.85243,9.24915,114.61912,39.01367,8.74786,8.27778,8.06113,9.652809928,9.395077803
59,1135.1595,1010.29961,1119.79289,317.78049,177.50609,3854216,273.28819,7.78,276.21124,7.72,523.27454,10.28,83.62375,7.72,5,0,0,0,8.47222,8.16667,6.40241,3.33307,8.02759,141.45059,19.8581,8.73504,8.27778,8.06164,9.609133873,9.361255787
60,1158.53885,1112.71533,1204.42378,317.81707,177.50609,3857423,263.53959,7.67,267.92564,7.72,572.75694,10.39,80.82096,7.72,5,0,0,0,8.48843,7.34902,4.8827,4.56643,6.92481,119.32845,7.14975,8.72222,8.27778,8.06215,9.391107253,9.321566358
61,912.5881,1278.24112,1404.41758,317.52439,177.50609,3831829,197.68462,7.83,195.98352,7.94,479.99692,10.56,56.48488,7.94,5,0,0,0,8.47917,7.81277,4.45836,1.48189,5.99367,175.37041,20.3035,8.7094,8.27778,8.06265,9.339902128,9.332488121
62,773.07715,1354.18858,1413.8378,317.05488,177.50609,3791001,158.9776,8,155.5996,8,431.6016,10.83,42.82409,8,5,0,0,0,8.62037,7.82909,6.66709,1.73202,6.68871,66.538,0.0299,8.69658,8.27778,8.06316,9.368016637,9.435877261
63,608.45819,1415.48498,1423.21788,316.40244,177.50609,3734499,127.84779,7.67,113.30284,7.94,349.36814,11.11,28.51624,7.94,5,0,0,0,8.71484,9.69279,5.73717,2.33221,1.10407,209.8349,10.57049,8.68376,8.27778,8.06367,9.362046851,9.410147789
64,607.66471,1370.96504,1431.27195,315.77744,177.50609,3680922,124.62099,7.28,108.86004,7.5,359.17934,11.39,27.01336,7.5,2.5,2.5,0,0,8.91435,8.49491,6.92102,1.08543,9.48944,71.34476,0.57644,8.67094,8.27778,8.06417,9.370016718,9.409577546
65,677.17931,1182.71168,1209.0347,315.35976,177.50609,3645417,146.19524,7.28,126.90304,7.44,386.20984,11.56,33.11682,7.44,0,5,0,0,8.84491,7.90319,6.66553,1.26562,9.55871,120.85006,24.76011,8.65812,8.27778,8.06468,9.414319702,9.430314429
66,616.64805,969.43534,1029.13534,315.06707,177.50609,3620678,126.50852,7.22,109.80792,7.44,365.09432,11.67,27.334,7.44,0,5,0,0,8.66435,7.23027,5.03143,2.54653,7.76128,119.51877,15.82796,8.6453,8.27778,8.06519,9.407841435,9.379822531
67,634.6714,1014.86212,1025.10181,314.75,177.50609,3594008,124.38279,6.89,110.94284,7.06,383.92814,11.72,27.71792,7.06,0,5,0,0,8.69444,7.11649,4.70692,5.04351,9.67466,125.22089,2.28048,8.63248,8.27778,8.0657,9.522890947,9.286152906
68,710.53384,994.99676,1032.24668,314.5122,177.50609,3574097,145.42046,6.56,127.95416,6.44,421.01636,11.72,33.47239,6.44,0,5,0,0,8.56944,6.22213,3.60458,4.73431,8.78393,167.42926,15.45222,8.61966,8.27778,8.0662,9.435442387,9.255770962
69,769.90322,925.93558,1036.43607,314.3811,177.50609,3563147,139.78369,7.28,136.58924,7.39,476.80754,11.83,36.3934,7.39,0,5,0,0,8.58333,5.97491,4.43148,4.76854,9.46904,125.93044,15.26148,8.60684,8.27778,8.06671,9.436728395,9.30235661
70,689.36491,1007.63578,1019.55098,314.1128,177.50609,3540827,124.91488,8.22,124.30848,8.11,424.75008,12,32.23915,8.11,0,5,0,0,8.59259,7.53105,6.57677,2.76903,8.82817,80.84298,8.54574,8.59402,8.27778,8.06722,9.261766975,9.38747428
71,712.23416,816.80361,867.30183,314.02439,177.50609,3533478,128.18829,8.06,128.55084,8.06,437.10114,12.11,33.67423,8.06,0,5,0,0,8.70602,9.40669,5.77911,1.90284,4.83344,176.80504,10.53427,8.5812,8.27778,8.06772,9.258375129,9.449009774
72,631.27077,726.4318,739.06728,313.94207,177.50609,3526670,113.5414,8.39,115.9044,8.33,385.5824,12.11,29.39628,8.33,0,5,0,0,8.81481,10.34917,5.57029,2.2435,6.30781,177.78186,2.71952,8.56838,8.27778,8.06823,9.315345293,9.50696052
73,562.49297,602.13868,627.13687,313.90549,177.50609,3523645,99.59352,8.94,98.98792,8.89,351.32432,12.22,23.67389,8.89,0,5,0,0,8.85185,13.30619,7.74648,1.14755,6.78068,190.5468,0.65162,8.55556,8.27778,8.06874,9.31407536,9.602591307
74,536.3081,544.80968,531.67238,313.89634,177.50609,3522888,90.89321,8.44,86.07316,8.28,349.26786,12.33,19.30517,8.28,0,5,0,0,8.97454,13.2817,7.19283,3.22757,2.70922,240.80719,0.15046,8.5556,8.27951,8.07353,9.281073174,9.510046939
75,475.18173,426.01425,445.86899,313.93598,177.50609,3526166,85.0379,9.06,79.4384,8.89,302.0814,12.28,17.06081,8.89,2.5,5,0,0,9.02778,11.60293,3.73741,2.97839,5.42782,231.25581,0.09479,8.55564,8.28125,8.07833,9.321003729,9.515184083
76,457.15838,366.27647,388.16214,314.00915,177.50609,3532217,82.96164,7.94,73.56744,8,293.36224,12.06,15.07483,8,5,5,0,0,9.04398,11.58112,4.81757,3.43126,3.0256,200.29407,0.01563,8.55568,8.28299,8.08313,9.229632845,9.517430004
77,458.91537,245.41232,320.86504,314.18598,177.50609,3546908,83.8758,8.94,66.5768,8.83,302.5428,11.78,12.71008,8.83,5,5,0,0,9.39583,8.77607,1.18624,3.39973,2.1193,252.98962,0.34733,8.55572,8.28472,8.08792,9.103796939,9.505192258
78,410.05962,196.04647,269.25217,314.3628,177.50609,3561619,76.70785,8.83,57.0186,9.17,271.8581,11.44,9.4768,9.17,5,5,0,0,9.27778,12.17705,6.14162,1.78391,6.22466,158.21564,0.00355,8.55577,8.28646,8.09272,9.077096193,9.525896991
79,390.36428,193.496,273.32348,314.52439,177.50609,3575116,79.89448,7.56,54.02008,7.56,252.59368,11.22,8.46248,7.56,5,5,0,0,9.43981,10.85076,3.17727,5.15396,3.09566,253.16789,0.01749,8.55581,8.28819,8.09752,9.200569059,9.474826389
80,386.3402,217.78218,279.26633,314.66159,177.50609,3586586,75.63916,7.83,52.30936,7.78,255.12056,10.94,7.88379,7.78,5,5,0,0,9.5463,7.14395,-0.60433,5.01704,0.91471,260.05246,0.00022,8.55585,8.28993,8.10231,9.269306199,9.472013246
81,364.60449,206.33338,276.0617,314.78963,177.50609,3597335,68.13698,8.67,48.33008,8.72,245.70868,11.06,6.53771,8.72,5,5,0,0,9.31713,10.4803,1.77701,3.3955,2.01208,270.70929,0.00781,8.55589,8.29167,8.10711,9.131864069,9.540348508
82,345.41926,169.29483,243.17475,314.93293,177.50609,3609363,67.16804,8.78,44.96184,9.33,231.38464,11.22,5.39833,9.33,5,5,0,0,9.23611,12.43656,6.30559,2.07877,7.08181,153.08476,0.00817,8.55594,8.2934,8.11191,8.996672454,9.597945602
83,333.91378,124.97325,205.64263,315.10366,177.50609,3623764,68.23427,8.17,42.57492,8.44,221.31382,11.5,4.59089,8.44,5,5,0,0,9.19676,13.08588,5.66569,2.22689,2.73028,261.54269,0.02492,8.55598,8.29514,8.1167,8.97892554,9.574266975
84,339.07141,84.90246,178.2333,315.31098,177.50609,3641282,65.36177,8.83,40.76492,9.06,231.19882,11.61,3.97862,9.06,5,5,0,0,9.36574,11.7689,5.56256,2.3145,1.112,275.3038,0.00495,8.55602,8.29688,8.1215,9.118859311,9.537374614
85,336.52094,81.10509,175.43486,315.51829,177.50609,3658857,64.45262,8.67,38.95152,8.83,231.42492,11.56,3.3652,8.83,5,5,0,0,9.26389,12.72994,8.32434,2.58512,2.67903,238.34093,0,8.55606,8.29861,8.12629,9.166714892,9.5936857
86,315.89043,72.49015,166.47632,315.71646,177.50609,3675727,63.67058,8.56,36.52568,9,214.14628,11.72,2.5446,9,5,5,0,0,9.27315,14.08851,9.00378,1.49568,0.97597,277.50046,0.00476,8.55611,8.30035,8.13109,9.495932999,9.640207047
87,296.62018,65.4055,172.03895,315.90244,177.50609,3691591,63.53429,8.44,35.12684,9,196.48714,11.94,2.07141,9,5,2.5,0,0,9.37731,12.11658,7.26592,2.56899,4.3411,163.73804,0.00394,8.55615,8.30208,8.13589,9.950424383,9.682275592
88,340.00658,91.25031,167.6382,316.10366,177.50609,3708819,62.42544,8.11,36.31224,8.33,239.63304,12.11,2.4724,8.33,5,0,0,0,9.33796,9.7093,2.09038,3.31122,1.44092,284.80875,0.00566,8.55619,8.30382,8.14068,10.28346836,9.7735018
89,291.77428,86.48942,165.12905,316.26829,177.50609,3722959,57.75858,8.39,33.19368,8.44,199.37428,12.33,1.41747,8.44,5,0,0,0,9.3912,10.68042,2.6311,3.57227,1.78711,276.71353,0.00441,8.55623,8.30556,8.14548,10.36766975,10.00753922
90,288.82706,78.38458,160.58897,316.43598,177.50609,3737384,54.39785,8.67,31.8586,8.67,201.1681,12.44,0.96585,8.67,5,0,0,0,9.35417,10.86778,1.60623,4.29282,1.40788,293.06058,0.00403,8.55628,8.30729,8.15028,10.48652906,10.26848637
91,320.14122,107.94175,157.87673,316.60366,177.50609,3751868,54.2706,9.44,34.1576,9.5,230.0396,12.67,1.74354,9.5,5,0,0,0,9.21759,12.43161,3.13044,3.72503,0.68144,294.68088,0.00743,8.55632,8.30903,8.15507,10.59096901,10.40903099
92,332.72356,89.60667,152.23971,316.79573,177.50609,3768484,56.29905,10.06,34.8338,10.39,239.8073,13.17,1.97228,10.39,5,2.5,0,0,9.31019,14.90804,6.01502,3.28842,1.14034,285.19366,0,8.55636,8.31076,8.15987,10.44997428,10.50258809
93,322.1816,63.11007,149.24999,317,177.50609,3786232,60.30206,10.11,28.91776,10.67,231.62196,13.17,0.42475,10.67,5,2.5,0,0,9.34491,17.91376,9.16691,2.17024,1.1675,290.71017,0.00151,8.5564,8.3125,8.16467,9.871704604,10.50750707
94,261.87705,55.40197,144.54814,317.16159,177.50609,3800266,70.02743,10,34.52828,10.83,155.61838,13.17,1.86893,10.83,5,0.5,0,0,9.40741,18.5876,11.28733,2.59406,0.76864,295.40372,0.00479,8.55644,8.31424,8.16946,9.469023277,10.58506715
95,252.97873,81.04841,141.31636,317.29573,177.50609,3811913,80.99757,9.5,35.23172,10.33,135.01162,13.39,2.10689,10.33,5,1,0,0,9.31415,16.15896,10.82755,4.06485,1.38891,297.33859,0.00917,8.55649,8.31597,8.17426,9.292406121,10.51272859
96,288.00524,41.26101,142.29286,317.49085,177.50609,3828903,86.72475,9.61,43.651,10.39,155.1835,13.56,4.9549,10.39,5,1,0,0,9.34259,16.09149,9.60764,2.03569,0.33947,300.79639,0.00511,8.55653,8.31771,8.17905,9.396154835,10.33617933
97,293.64463,70.30808,143.60942,317.66463,177.50609,3844067,82.66962,9.89,43.45352,10.44,165.04692,13.61,4.8881,10.44,5,1,0,0,9.39815,15.5239,8.07953,2.3608,2.05619,297.69696,0.00459,8.55657,8.31944,8.18385,9.756462191,10.43574851
98,289.62054,87.82134,144.28955,317.82317,177.50609,3857957,70.04651,9.83,27.16996,10.44,191.16566,13.5,0.42475,10.44,5,1,0,0,9.53472,16.89422,8.00384,1.49868,3.60085,303.8504,0.0261,8.55661,8.32118,8.18865,10.03817837,10.29656957
99,281.17564,91.16529,180.85698,317.96951,177.50609,3870786,70.93698,9.89,27.83008,10.61,181.07868,13.28,0.42475,10.61,5,1,0,0,9.41667,13.82006,8.97266,3.45279,7.5096,166.42271,0.00381,8.55666,8.32292,8.19344,10.64951453,10.47960069
